course_id,name,description,level_id,plan_id
105695,DATA STRUCTURES,"This course emphasizes the study of the basic data structures of computer science (stacks, queues, trees, lists) and their implementations using the java language included in this study are programming techniques which use recursion, reference variables, and dynamic memory allocation.  Students in this course are also introduced to various searching and sorting methods and also expected to develop an intuitive understanding of the complexity of these algorithms.",UG,4
105697,COMPUTER ORGANIZATION AND ASSEMBLY LANGUAGE,"The purpose of this course is to study the components of computing systems common to most computer architectures.  In particular, this class is meant to introduce data representation, types of processors, memory types and hierarchy, and device drivers.  The students will learn MIPS assembly language, the design of arithmetic and logic units, and basic designs for RISC processors.",UG,4
105698,DATA STRUCTURES AND FILES,"A study of computer representations of structured data both in main memory and on secondary storage devices, and operations on such data.  Topics include list structures, various advanced data structures, hashing, file structures, access methods, and interaction between main and secondary storage, sorting and searching.  Modula-2 is the programming language used in this course.",UG,4
105699,INTRODUCTION TO SYSTEMS SOFTWARE,"This course covers topics related to the interface of hardware and software.  It covers device interfaces and hardware synchronization at the lowest level of the operating system, the linkage of operating system services to application software, and the fundamental mechanisms for computer communications.",UG,4
105761,ALGORITHM IMPLEMENTATION,"The course covers a broad range of the most commonly used algorithms:  some examples include algorithms for sorting, searching, encryption, compression, and local search.  The students will implement and test several algorithms.  The course is programming intensive.",UG,4
105762,FORMAL METHODS IN COMPUTER SCIENCE,"The course is an introduction to the theory of information and computation as a physical phenomenon. The course covers standard formalizations of computational concepts and proofs of noteworthy implications of these formalizations. Typical topics include: finite automata, computability, reducibility, and complexity.",UG,4
105763,ALGORITHM DESIGN,This course will cover methods and strategies that are useful for the design of nonnumeric algorithms.  Students are expected to design their own algorithms.,UG,4
105764,INTRODUCTION TO THEORY OF COMPUTATION,"Understanding the theory of computation provides deeper in sights into various topics in computer science.  This is an introductory level theory course.  The aim of this course is to study the power (or lack of it) of various models of computation.  Topics to be covered include:  automata, formal languages, computability, and computational complexity.",UG,4
105765,BOOLEAN ALGEBRA & COMPUTER LOGIC,"THIS COURSE IS INTENDED TO INTRODUCE THE STUDENT TO THE BASIC IDEAS OF COMPUTER ELEMENTS AND LOGICAL DESIGN TECHNIQUES, AND TO THE PRINCIPLES OF COMPUTER HARDWARE ORGANIZATION.  THE COURSE PRESUPPOSES NO BACKGROUND IN ELECTRONICS OR ENGINEERING, STRESSES LOGICAL RATHER THAN PHYSICAL ASPECTS.  TOPICS COVERED INCLUDE BOOLEAN ALGEBRA AND ITS APPLICATION TO LOGICAL DESIGN, LOGIC CIRCUITS, COMPUTER ARITHMETIC, FUNCTIONAL UNITS OF DIGITAL COMPUTER, AND BASIC COMPUTER ORGANIZATION.",UG,4
105766,SCIENTIFIC COMPUTATION,"Numerical methods used in scientific computation will be discussed, with particular reference to their data structuring and verification aspects.  The methods will be selected from the following:  solution of systems of linear equations, solution of non-linear equations, approximation, and solution of ordinary differential equations.",UG,4
105767,PROGRAMMING LANGUAGE FOR WEB APPLICATIONS,"Various programming paradigms will be studied using java and scripting languages.  The use of java in programming web based applications, network applications, and the use of the extensive java libraries will be studied.  The programming paradigm of building software by gluing components will be explored through the use of scripting languages such as perl and JavaScript.  Applications include developing guis and internet programming.",UG,4
105768,SOFTWARE ENGINEERING,"The purpose of this course is to provide a general survey of software engineering.  Some of the topics covered include: project planning and management, design techniques, verification and validation, and software maintenance.  Particular emphasis is on a group project in which a group of students implement a system from its specification.",UG,4
105769,SOFTWARE DESIGN METHODOLOGY,"CONSTRUCTION OF LARGE COMPUTERIZED SYSTEMS PROCEEDS THROUGH THE STAGES OF REQUIREMENTS ANALYSIS, SPECIFICATION, AND IMPLEMENTATION.  THIS COURSE DEALS WITH REQUIREMENTS ANALYSIS AND SPECIFICATION.  EMPHASIS IS ON METHODOLOGIES FOR IMPROVING THE RELIABILITY OF SPECIFICATIONS, I.E. ON EXECUTABLE SPECIFICATIONS AND SYSTEM PROTOTYPES.",UG,4
105770,SOFTWARE ENGINEERING,"SOFTWARE ENGINEERING IS A TEAM DISCIPLINE.  THE PURPOSE OF THIS COURSE IS TO INTRODUCE THE PRINCIPLES OF SOFTWARE ENGINEERING, AND TO PROVIDE EXPERIENCE IN TEAMWORK.  THE COURSE IS STRUCTURED AROUND A MAJOR PROJECT, WHICH IS TAKEN THROUGH THE STAGES OF COST ESTIMATION, REQUIREMENTS SPECIFICATION, DESIGN AND IMPLEMENTATION, AND TESTING.",UG,4
105771,INTRODUCTION TO SIMULATION,"The course introduces students to the concepts, definitions, techniques applicable to the simulation of systems.  Both continuous and discrete modeling are covered, with emphasis on the latter.  The objective of this course is to familiarize the students with several modern discrete simulation languages, and their use in modeling.  Topics include:  systems characterization, classification, and modeling; pertinence of probability and statistics theory for stochastic processes and model measurement; discrete systems simulation viewpoints; software modeling techniques.",UG,4
105772,INTRODUCTION TO COMPUTER ARCHITECTURE,"Examination of computer architecture and hardware system organization.  Topics include:  CPU organization, sequential and microprogrammed control, instruction set implementation, memory organizations, input/output structure, peripherals and computer communications.",UG,4
105773,INTRODUCTION TO SIMULATION,"THIS COURSE IS TO INTRODUCE STUDENTS TO THE CONCEPTS, DEFINITIONS, AND TECHNIQUES WHICH ARE APPLICABLE TO THE MODELING AND SIMULATION OF SYSTEMS; BOTH CONTINUOUS AND DISCRETE SYSTEM SIMULATION METHODS ARE COVERED.  TOPICS INCLUDE:  SYSTEM CHARACTERIZATION, CLASSIFICATION AND MODELING; PERTINENCE OF CONCEPTS FROM PROBABILITY AND STATISTICS, AND INTRODUCTORY DESCRIPTION OF SUITABLE PROGRAMMING LANGUAGES.",UG,4
105774,INTRODUCTION TO OPERATING SYSTEMS,"An introduction to basic concepts of operating systems, common to most computer systems, which interfaces the machine with upper-level programs.  This course will introduce processes as processing unit, process management, concurrency, communication, memory management and protection, and file systems.",UG,4
105775,DATABASE MANAGEMENT SYSTEMS,"The objective of this course is to provide an in-depth knowledge of database systems design. Thus, the emphasis is on how to model ones own data and how to use available database management systems effectively. Towards this end, the relational and the object-relational models are discussed in great detail and object-oriented and other data models are also presented. Commercial database management systems are examined and students get practical experience through the use of such systems.",UG,4
105776,INTRO TO COMPUTER ARCHITECTURE,"EXAMINATION OF COMPUTER ARCHITECTURE AND HARDWARE SYSTEM ORGANIZATION.  TOPICS INCLUDE:  CPU ORGANIZATION, SEQUENTIAL AND MICROPROGRAMMED CONTROL, INSTRUCTION SET IMPLEMENTATION, MEMORY ORGANIZATIONS, INPUT/OUTPUT STRUCTURE PERIPHERALS AND INTERFACING, AND COMPUTER COMMUNICATIONS.",UG,4
105777,DATABASE MANAGEMENT SYSTEMS,"THE OBJECTIVE OF THIS COURSE IS TO PROVIDE AN IN-DEPTH KNOWLEDGE OF DATABASE SYSTEMS DESIGNS.  THUS, THE EMPHASIS IS ON HOW TO MODEL ONES OWN DATA AND HOW TO USE AVAILABLE DATABASE MANAGEMENT SYSTEMS (DBMS) EFFECTIVELY.  TOWARDS THIS END, RELATIONAL STRUCTURE IS DISCUSSED IN GREAT DETAIL AND HIERARCHICAL AND NETWORK DATA STRUCTURES ARE ALSO PRESENTED.  INGRES, DB2, DBASE III SYSTEMS ARE STUDIED AND STUDENTS GET PRACTICAL EXPERIENCE THROUGH THE USE OF INGRES.",UG,4
105778,INTRODUCTION COMPUTER GRAPHICS,"This course offers an in-depth exploration of fundamental concepts in 2d and 3d computer graphics. The bulk of the course is devoted to 3d modeling, geometric transformations, and 3d viewing and rendering.",UG,4
105779,PROGRAMMING SYSTEM DESIGN ON A MOBILE ROBOT PLATFORM,"Students will be introduced to a variety of programming techniques and paradigms, for implementing medium- to large scale software systems.  System integration is done on a mobile robot platform rather than a traditional desktop system.  However, this is not a course in robotics.  It is a course about building systems in a real-world environment.",UG,4
105780,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,"This course will provide an introduction to the fundamental concepts and techniques underlying the construction of intelligent computer systems.  Topics covered in the course include:  problem solving and search, logic and knowledge representation, planning, reasoning and decision-making in the presence of uncertainty, and machine learning.",UG,4
105781,ARTIFICAL INTELLIGENCE APPLICATION DEVELOPMENT,"This course will focus on the development of artificial intelligence applications.  It will cover symbolic data structures, advanced control structures, and advanced prototyping and data exploration techniques.  Multiple areas of artificial intelligence will be covered, such as machine learning, planning, knowledge representation and reasoning or natural language processing.  Example application areas may include medical expert systems, web-page categorization and summarization, dialog-based tutoring systems, data mining and knowledge discovery.",UG,4
105782,INTRODUCTION TO ARTIFICIAL INTELLIGENCE,"THIS COURSE INTRODUCES THE FUNDAMENTAL CONCEPTS OF ARTIFI CIAL INTELLIGENCE.  TOPICS INCLUDE BASIC TECHNIQUES FOR REPRESENTATION AND REASONING, AS WELL AS THE USE OF THESE TECHNIQUES IN A NUMBER OF APPLICATION AREAS, SUCH AS PLAN NING, NATURAL-LANGUAGE UNDERSTANDING, AND LEARNING.",UG,4
105783,ARTIFICIAL NTELLIGENCE PROGRAMMING,"WE DISCUSS THE DATA STRUCTURES, CONTROL STRUCTURES, AND PARADIGMS OF ARTIFICIAL INTELLIGENCE PROGRAMMING.  WE FOCUS ON THE LISP LANGUAGE-PROGRAMMING ENVIRONMENT AND USE OF THAT ENVIRONMENT TO DEVELOP HIGHER LEVEL PROGRAMMING TOOLS. TOPICS INCLUDE ABSTRACT DATA TYPES, KNOWLEDGE STRUCTURING, RECURSIVE PROGRAMMING, DISCRIMINATION NETS, AGENDA CONTROL, DEDUCTIVE INFORMATION RETRIEVAL, SLOTFILLER DATABASES, SOPHISTICATED DATA DEPENDENCIES, CLOSURE - BASED PROGRAMS, AND EXPERT SYSTEMS.  WE DISCUSS SEVERAL APPLICATION AREAS.",UG,4
105784,SOCIAL IMPLICATIONS OF COMPUTING TECHNOLOGY,"THIS COURSE IS INTENDED TO INTRODUCE STUDENTS TO THE MAIN ISSUES SURROUNDING THE COMPUTERIZATION OF SOCIETY, AND TO HELP STUDENTS UNDERSTAND THE DEVELOPMENT, APPLICATION, AND CONSEQUENCES OF INFORMATION TECHNOLOGY AS SOCIAL AS WELL AS TECHNICAL PROCESSES.  TOPICS INCLUDE COMPUTERIZATION AND THE QUALITY OF WORKLIFE, UNEMPLOYMENT, PERSONAL PRIVACY AND FREEDOM OF INFORMATION, OWNERSHIP AND RIGHTS TO SOFTWARE, AND THE MANAGEABILITY, RISKS, AND ACCOUNTABILITY OF COMPLEX SYSTEMS.",UG,4
105785,STRUCTURE PROGRAMMING LANGUAGES,"An analytical examination of modern high-level programming language structures; including design specification and implementation.  Advanced forms of data types, expressions, and control primitives.  Relationship of storage management techniques and language design.",UG,4
105786,INTRODUCTION TO COMPILER DESIGN,"This course will introduce the basic concepts of compiler design and implementation.  Topics include lexical analysis, various types of parsers, intermediate and object code generation and code optimization.  The material will be presented from an implementation point of view rather than a formal approach.  The impact of language design on compilers will also be examined.",UG,4
105787,SOFTWARE DESIGN METHODOLOGY,"Construction of large computerized systems proceeds through the stages of requirements analysis, specification, and implementation.  This course deals with requirements analysis and specification, in particular, methodologies for improving the reliability of specifications (executable specifications and system phototypes).",UG,4
105788,INTRODUCTION TO HIGH PERFORMANCE COMPUTING SYSTEMS,"This course is an introduction to the architecture of and software techniques for parallel and high performance computing systems.  The content includes fundamental aspects of vector processing, shared-memory, and distributed-memory systems.  Specific applications in parallel processing paradigms will be covered.",UG,4
105789,ADVANCED SYSTEMS SOFTWARE,"To discuss in depth some advanced features of fundamental importance in the design of operating systems.  The subjects discussed include interprocess communication, real-time scheduling, advanced file systems, security and protection mechanisms.  The objective of the course is to provide an understanding of these advanced issues, as well as to bring awareness of the known solutions to these problems and to the limitations of these solutions.",UG,4
105790,DATA COMMUNICATION AND COMPUTER NETWORKS,"This course will include basic principles and topics of computer communications.  An overview of interfaces that interconnect hardware and software components, describing the procedures and rules involved in the communication process and the software which controls computers communication. Discussion on network architectures, design principles, basic protocol suites, and the concept of internetworking.",UG,4
105791,SECURE DATA MANAGEMENT AND WEB APPLICATIONS,"The main objectives for this course are:  (1) to study in more depth query optimization and security, (2) to study advanced topics; data mining, information retrieval, and web data management, and (3) to expose students to advanced data and information management technologies, while gaining hands-on experience.  These include mobile data management, continuous queries and their applications in areas such as biomedical informatics and e-commerce.",UG,4
105792,COMPUTER ORGANIZATION,"EXAMINATION OF COMPUTER ARCHITECTURE AND HARDWARE SYSTEM ORGANIZATION.  TOPICS INCLUDE:  CPU ORGANIZATION, SEQUENTIAL AND MICROPROGRAMMED CONTROL, INSTRUCTION SET IMPLEMENTATION, MEMORY ORGANIZATIONS, INPUT/OUTPUT STRUCTURE, PERIPHERALS AND INTERFACING, AND COMPUTER COMMUNICATIONS.",UG,4
105793,INTRODUCTION TO MICROCOMPUTING,"THIS COURSE WILL EXAMINE THE HARDWARE, SOFTWARE, AND RECENT DEVELOPMENT OF PERSONAL MICROCOMPUTER SYSTEMS, WITH PARTICULAR EMPHASIS ON PROFESSIONAL-LEVEL OF CUSTOMIZED APPLICATIONS.  TOPICS COVERED INCLUDE THE EVOLUTION OF MICROCOMPUTERS, CONTEMPORARY ARCHITECTURE, MICROCOMPUTER SOFTWARE ENGINEERING, MICROCOMPUTER OPERATING SYSTEMS, AND PROGRAM DEVELOPMENT SYSTEMS.  SPECIFIC LABORATORY PROJECTS USING THE MS-DOS OPERATING SYSTEM, THE C PROGRAMMING LANGUAGE, AND 8086 ASSEMBLY LANGUAGE WILL BE ASSIGNED.",UG,4
105794,INTRO HIGH PERF COMPUTNG SYSTEMS,"INTRODUCTION TO THE ARCHITECTURE OF AND SOFTWARE TECHNIQUES FOR PARALLEL AND HIGH PERFORMANCE COMPUTING SYSTEMS, INCLUD ING FUNDAMENTAL ASPECTS OF VECTOR PROCESSING, SHARED-MEMORY AND DISTRIBUTED-MEMORY SYSTEMS.  SPECIFIC APPLICATIONS IN PARALLEL PROCESSING PARADIGMS WILL BE COVERED.",UG,4
105795,SPECIAL TOPICS IN COMPUTER SCIENCE,This is a special topics course that allows the computer science department to test run a course before deciding whether to permanently add it to our curriculum.,UG,4
105814,INTERNSHIP,"This course places the student in an on-the-job"" setting in which he/she receives practical experience in a supervised training environment.""",UG,4
105815,DIRECTED STUDY,This course is designed to give students the opportunity to design a plan of study to be agreed upon by the student and a supervising faculty member.  This course does not satisfy the computer science capstone requirement.,UG,4
105819,SCIENTIFIC COMPUTER PROGRAMMING,"A first computer science course for graduate students in fields other than computer science.  This course emphasizes the development of models and the study of algorithms involving numerical and non-numerical applications. Applications will be implemented using the Fortran language. Some lectures will discuss techniques of simulation, statistics, and matrix manipulations.",UG,4
105820,CMPTR PROGRAMMNG-GRAD STUDENTS,A first computer science course for graduate students in fields other than the scientific areas of study.  Emphasis will be on problem-solving methodology of numerical and non-numerical applications.  Solutions will be implemented using the Fortran language.  Students will be introduced to the features of a time-sharing computer system (VMS of Unix).,UG,4
105821,DIRECTED RESEARCH,This course is designed to give students the opportunity to design a plan of study to be agreed upon by the student and a supervising faculty member.,UG,4
105822,MS THESIS RESEARCH,Master's thesis research.,GR,4
105823,RESEARCH TOPICS/COMPUTER SCIENCE,"This course introduces the students to the research being conducted in the computer science department.  Active, state-of-the-art research topics will be covered.",GR,4
105824,RESEARCH EXPERIENCE/COMPUTER SCI,"In this course, each student will perform exploratory research topics covered in CS 2001.  The research will be supervised and directed by faculty members working in the area of the topic chosen by the student.",GR,4
105825,TOPICS IN COMPUTER SCIENCE,AN OVERVIEW OF SUBJECT AREAS OF COMPUTER SCIENCE AS REFLECTED BY THE CURRENT RESEARCH INTERESTS OF THE DEPARTMENTAL FACULTY.  THIS IS DONE THROUGH A SERIES OF FACULTY LECTURES.,GR,4
105826,CONCEPTS OF SCIENTIFIC COMPUTING,"The objective of this course is to study the fundamental areas of computer science and develop the ability to write well-structured modular and documented programs.  These programs should effectively use stacks, queues, trees, and list structures.  In addition, the following fundamental areas of computer science will be discussed:  operating systems, instruction sets, elementary architecture, input or output programming, real-time data acquisition, and storage devices and their properties.",GR,4
105827,THEORY OF COMPUTATION,"This course deals with computability theory, automata theory and formal languages.  Various models of computation will be examined, their relations to each other and their properties will be studied.  Topics include models for computable functions and church's thesis, models for recognizers and their relation to formal grammars, algorithmically solvable and unsolvable problems, and the complexity of computations.",GR,4
105828,THEORY OF COMPUTATION 1,"THIS COURSE DEALS WITH COMPUTABILITY THEORY, AUTOMATA THEORY AND FORMAL LANGUAGES.  VARIOUS MODELS OF COMPUTATION WILL BE EXAMINED, THEIR RELATIONS TO EACH OTHER AND THEIR PROPERTIES WILL BE STUDIED.  TOPICS INCLUDE MODELS FOR COMPUTABLE FUNCTIONS AND CHURCH'S THESIS, MODELS FOR RECOGNIZERS AND THEIR RELATION TO FORMAL GRAMMARS, ALGORITHMICALLY SOLVABLE AND UNSOLVABLE PROBLEMS, AND THE COMPLEXITY OF COMPUTATIONS.",GR,4
105829,THEORY OF COMPUTATION 2,"A CONTINUATION OF THE STUDY OF THE THEORETICAL ISSUES OF COMPUTER SCIENCE.  TOPICS INCLUDE COMPUTATIONAL COMPLEXITY, DETERMINISM VERSUS NON-DETERMINISM, THE P=NP QUESTION, FORMAL LANGUAGES, AND INDUCTIVE INFERENCE.",GR,4
105830,DESIGN & ANALYSIS OF ALGORITHMS,"This course deals with the analysis of algorithms and the relevance of such analysis to the design of efficient algorithms.  The derivation of results that are primarily of theoretical significance shares importance with the practical task of designing efficient algorithms.  Topics covered: searching and sorting, graph algorithms, arithmetic, np-completeness, and lower bound techniques.",GR,4
105831,DESIGN & ANALYSIS OF ALGORITHMS1,"THIS COURSE DEALS WITH THE ANALYSIS OF ALGORITHMS AND THE RELEVANCE OF SUCH ANALYSIS TO THE DESIGN OF EFFICIENT ALGORITHMS.  THE DERIVATION OF RESULTS THAT ARE PRIMARILY OF THEORETICAL SIGNIFICANCE SHARES IMPORTANCE WITH THE PRACTICAL TASK OF DESIGNING EFFICIENT ALGORITHMS.  TOPICS COVERED:  SEARCHING AND SORTING, GRAPH ALGORITHMS, ARITHMETIC, NP-COMPLETENESS, AND LOWER BOUND TECHNIQUES.",GR,4
105832,DESIGN & ANALYSIS OF ALGORITHMS2,"THE STUDY OF THE DESIGN AND ANALYSIS OF ALGORITHMS IS CONTINUED.  ADVANCED DATA STRUCTURES AND ALGORITHMS IN A NUMBER OF APPLICATION AREAS WILL BE DISCUSSED.  THE EMPHASIS WILL BE TWOFOLD; FIRST, ON THE STUDY IN DETAIL OF ADVANCED DESIGN, ANALYSIS, AND PROOF TECHNIQUES FOR ALGORITHMS AND THEIR APPLICATION IN A VARIETY OF AREAS, AND SECOND, ON THE INTRODUCTION OF SOME MAJOR RESEARCH TOPICS CURRENTLY BEING INVESTIGATED, SUCH AS CRYPTOGRAPHY, IMPLICIT DATA STRUCTURES, GEOMETRIC COMPLEXITY, DETERMINISTIC SCHEDULING, SEPARATOR RESULTS FOR GRAPHS, AND EXPECTED TIME RESULTS.",GR,4
105833,FAULT TOLERANCE & CODING THEORY,"THE STUDY OF THE PRINCIPLES OF FAULT TOLERANT COMPUTING AND THE THEORY BEHIND INFORMATION STORAGE AND TRANSMISSION. TOPICS INCLUDE SYNCHRONOUS AND ASYNCHRONOUS MACHINES, INFORMATION LOSSLESS MACHINES, ERROR DETECTING CODES, ERROR CORRECTING CODES, HUFFMAN CODES, RESIDUE CODES, ARITHMETI CALLY INVARIANT CODES, THE FUNDAMENTALS OF RELIABLE SYSTEM DESIGN, FAULT TOLERANT MULTIPROCESSORS, SYSTEM DIAGNOSIS AND FAULT TOLERANT SOFTWARE.",GR,4
105834,COMPILER DESIGN,"The design and implementation of current high level languages.  Emphasis is placed on the structure of compilers. Lexical, syntax and semantic analysis as well as target code generation and register allocation.  Storage management techniques for recursive and retentive control structures. Formal specification techniques.",GR,4
105835,COMPILER DESIGN,"THE DESIGN AND FORMAL DESCRIPTION OF MODERN HIGH LEVEL LANGUAGES AND THE TECHNIQUES USED IN THEIR IMPLEMENTATION. TOPICS INCLUDE LEXICAL ANALYSIS AND PARSING METHODS, STORAGE MANAGEMENT TECHNIQUES FOR VARIOUS CONTROL REGIMES AND DATA STRUCTURES, AN INTRODUCTION TO INTERMEDIATE CODE GENERATION, SYMBOL TABLE CONSTRUCTION, THE STRUCTURE OF INTERPRETERS.",GR,4
105836,ADVANCED COMPILER TECHNIQUES,"CONTINUATION OF COMPILER CONSTRUCTION TECHNIQUES INCLUDING ERROR RECOVERY TECHNIQUES, PROGRAM FLOW AND CODE OPTIMIZATION, AND EFFICIENT METHODS OF CODE GENERATION AND REGISTER ALLOCATION.  AUTOMATIC GENERATION OF COMPILERS. FORMAL SEMANTIC DESCRIPTIONS.  CODE GENERATIONS ISSUES FOR PARALLEL SYSTEMS.  CURRENT TOPICS IN COMPILER RESEARCH.",GR,4
105837,COMPILING TECHNQS/PARALLEL SYMS,"THIS COURSE WILL STUDY TECHNIQUES USED IN THE DESIGN OF PARALLELIZING COMPILERS.  TECHNIQUES FOR COMPUTING DEPENDENCIES AND PROGRAM REPRESENTATIONS SUITABLE FOR PARALLELIZING SOFTWARE WILL BE PRESENTED.  TOPICS WILL INCLUDE DETECTION OF FINE AND COARSE PARALLELISM, PROGRAM TRANSFORMATIONS AND SCHEDULING TECHNIQUES TO EXPLOIT PARALLELISM ON SHARED AND DISTRIBUTED MEMORY ARCHITECTURES, AND TECHNIQUES FOR DEBUGGING PARALLEL SOFTWARE.",GR,4
105838,SOFTWARE ENGINEERING,"This course will examine the software engineering process in general, the considerations for large software projects in particular, and then will focus on the conversion of software specifications into production code.  Topics will include modern design methods, safety-critical software, verification and validation, testing theory and methods, reengineering of legacy software.",GR,4
105839,SOFTWARE ENGRG SPECIFCTN/DESIGN,PRINCIPLES OF SPECIFICATION; COMPONENTS OF A SOFTWARE SYSTEM; SPECIFICATION AND LIFE-CYCLE MODELS; SPECIFICATION METHODOLOGIES FOR PROGRAMMING IN THE SMALL; SPECIFICATION METHODOLOGIES FOR INFORMATION SYSTEMS AND CONTROL SYSTEMS; THE PROCESS OF SPECIFICATION; VALIDATION METHODOLOGIES; RESEARCH TOPICS.,GR,4
105840,SOFTWARE ENGRG IMPLEMN/TESTING,"THIS COURSE WILL DEAL WITH THE CONVERSION OF SOFTWARE SPECIFICATIONS INTO SOFTWARE PRODUCTS, UNDER PARTICULAR CONSIDERATION OF TESTING, QUANTITATIVE APPROACHES TO SOFTWARE QUALITY, AND TRANSFORMATIONAL DEVELOPMENT OF SOFTWARE.",GR,4
105841,MODELING AND SIMULATION,"THE BACKGROUND JUSTIFICATION, DEFINITIONS, AND USES OF MODELING AND SIMULATION ARE DETAILED.  TOPICS RANGE FROM SYSTEM CONCEPTUALIZATION, PURPOSEFUL REPRESENTATION, AND MODELING TO IMPLEMENTATION, VALIDATION, AND PROCESSING OF THE SIMULATION MODEL.  PRIMARY ATTENTION IS PAID TO DYNAMIC DISCRETE SYSTEMS, ALTHOUGH CONTINUOUS SYSTEMS ARE ALSO COVERED.  EXAMPLES ARE DRAWN FROM A VARIETY OF APPLICATION FIELDS.  METHODOLOGICAL APPROACHES ARE EMPHASIZED.  STUDENTS ARE REQUIRED TO IMPLEMENT AND TEST A SUBSTANTIAL SIMULATION MODEL.",GR,4
105842,COMPUTER ARCHITECTURE,"A study of the hardware structure of computer systems and subsystems.  Topics include:  processor architecture, parallelism and pipelining, cache and main memory organization, i/o controllers and i/o processors, and interconnection structures.",GR,4
105843,PARALLEL COMPUTING,"The fundamental principles of parallel computing systems are studied at the architecture level, the algorithmic level and the application level.  Topics of specific interest include: interconnection networks for multiprocessors and massively parallel systems, a survey of prototype and commercially available parallel machines, cache coherence issues, parallel programming constructs and paradigms, design and anal ysis of parallel algorithms, load balancing techniques, and the application of parallel systems to solve real problems.",GR,4
